me.cx.vy.cn.cg.Serialization	Registered Config as LZ4 for config type CompressorConfig
me.cx.vy.cn.cg.Serialization	Registered Config as ZSTD for config type CompressorConfig
me.cx.vy.cn.cg.Serialization	Registered Config as LMDB for config type StorageConfig
me.cx.vy.cn.cg.Serialization	Registered Config as Memory for config type StorageConfig
me.cx.vy.cn.cg.Serialization	Registered Config as Redis for config type StorageConfig
me.cx.vy.cn.cg.Serialization	Registered Config as RocksDB for config type StorageConfig
me.cx.vy.cn.cg.Serialization	Registered Config as ReadonlyCachingLayer for config type StorageConfig
me.cx.vy.cn.cg.Serialization	Registered Config as CompressionAdaptor for config type StorageConfig
me.cx.vy.cn.cg.Serialization	Registered ConditionalStorageBackendConfig as ConditionalConfig for config type StorageConfig
me.cx.vy.cn.cg.Serialization	Registered Config as FragmentationAdaptor for config type StorageConfig
me.cx.vy.cn.cg.Serialization	Registered Config2 as AutoFragmentationAdaptor for config type StorageConfig
me.cx.vy.cn.cg.Serialization	Registered BasicPathInsertionConfig as BasicPathConfig for config type StorageConfig
me.cx.vy.cn.cg.Serialization	Registered Config as Serializer for config type SectionStorageConfig
me.cx.vy.cn.cg.Serialization	Registered 13 config types
me.cx.vy.cl.VoxyInstance	Initializing voxy instance
me.cx.vy.cl.VoxyInstance	Dedicated voxy thread pool size: 9
me.cx.vy.cl.VoxyInstance	Creating new world engine: 1259957700317789253@678006094
me.cx.vy.ct.ce.rg.sn.gy.BasicSectionGeometryData	Creating and zeroing 4095MB geometry buffer driver states 6072MB of free memory
me.cx.vy.ct.ce.rg.sn.gy.BasicSectionGeometryData	if your game crashes/exits here without any other log message, try manually decreasing the geometry capacity
me.cx.vy.ct.ce.rg.sn.gy.BasicSectionGeometryData	Running on nvidia, using workaround sparse buffer allocation
me.cx.vy.ct.ce.rg.sn.gy.BasicSectionGeometryData	Successfully allocated the geometry buffer in 2ms
me.cx.vy.ct.ce.VoxyRenderSystem	Voxy render system created with 4294966272 geometry capacity, using pipeline 'NormalRenderPipeline' with renderer 'MDICSectionRenderer'
me.cx.vy.cl.VoxyInstance	Dedicated voxy thread pool size: 1
me.cx.vy.ct.ce.VoxyRenderSystem	[DIAG] renderOpaque first call: viewport=3440x1440 GL_VIEWPORT=3440x1440 boundFB=2 shadowActive=false pipeline=NormalRenderPipeline
me.cx.vy.ct.ce.AbstractRenderPipeline	[DIAG] getDepthAttachmentTextureId(fb=2) → depthTex=7 (via GL_DEPTH_ATTACHMENT)
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=791104 remaining_bytes=66317760 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.VoxyRenderSystem	Flushing download stream
me.cx.vy.ct.ce.VoxyRenderSystem	Shutting down rendering
me.cx.vy.ct.ce.rg.sn.gy.BasicSectionGeometryData	Attempting to wait for gpu memory to release
me.cx.vy.ct.ce.rg.sn.gy.BasicSectionGeometryData	Failed to wait for gpu memory to be freed, this could indicate an issue with the driver
me.cx.vy.ct.ce.VoxyRenderSystem	Shutting down render pipeline
me.cx.vy.ct.ce.VoxyRenderSystem	Flushing download stream
me.cx.vy.ct.ce.VoxyRenderSystem	Render shutdown completed
me.cx.vy.ct.ce.rg.sn.gy.BasicSectionGeometryData	Creating and zeroing 4095MB geometry buffer driver states 6054MB of free memory
me.cx.vy.ct.ce.rg.sn.gy.BasicSectionGeometryData	if your game crashes/exits here without any other log message, try manually decreasing the geometry capacity
me.cx.vy.ct.ce.rg.sn.gy.BasicSectionGeometryData	Running on nvidia, using workaround sparse buffer allocation
me.cx.vy.ct.ce.rg.sn.gy.BasicSectionGeometryData	Successfully allocated the geometry buffer in 1ms
me.cx.vy.ct.ce.VoxyRenderSystem	Voxy render system created with 4294966272 geometry capacity, using pipeline 'NormalRenderPipeline' with renderer 'MDICSectionRenderer'
me.cx.vy.ct.ce.VoxyRenderSystem	[DIAG] renderOpaque first call: viewport=3440x1440 GL_VIEWPORT=3440x1440 boundFB=2 shadowActive=false pipeline=NormalRenderPipeline
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=3296 remaining_bytes=67105568 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=0 avg_copy_batch=0 max_copy_batch=0 copy_dispatch_batches=0 avg_copy_dispatched_per_tick=0 max_copy_dispatched_per_tick=0 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=0 result_copy_entries=0 result_scatter_entries=0 request_inflight_deferred=0 request_rerun_executed=0 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=6848 remaining_bytes=67102016 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.cn.wd.WorldSection	VOXY_PERF world_section_cache pool_size=0 allocations=1079 hits=0 misses=1079 offers=0 rejects=0 hit_pct=0.00
me.cx.vy.ct.ce.rg.bg.RenderDataFactory	Missing model summary: 1 misses in last 5s (1 unique IDs total, fallback model 1)
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=15 avg_copy_batch=3 max_copy_batch=15 copy_dispatch_batches=15 avg_copy_dispatched_per_tick=3 max_copy_dispatched_per_tick=15 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=0 result_copy_entries=6 result_scatter_entries=18 request_inflight_deferred=0 request_rerun_executed=0 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.ct.ce.rg.bg.RenderDataFactory	Missing model summary: 34 misses in last 5s (35 unique IDs total, fallback model 1)
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=57264 remaining_bytes=67051600 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.NodeManager	Inflight request summary: deferred=1 suppressed=0 pending_reruns=1
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager$ComputeMemoryCopy	Resizing scratch data buffer to: 2097152
me.cx.vy.ct.ce.rg.bg.RenderDataFactory	Missing model summary: 90 misses in last 5s (125 unique IDs total, fallback model 1)
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager$ComputeMemoryCopy	Resizing scratch data buffer to: 4194304
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager$SyncResults	Expanding scatter update buffer to 24720
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager	VOXY_PERF async_node copy_batches=184 avg_copy_batch=17 max_copy_batch=239 copy_dispatch_batches=184 avg_copy_dispatched_per_tick=17 max_copy_dispatched_per_tick=239 pending_copy_remaining=0 pending_result_age_ticks=0 sync_wait_events=5 result_copy_entries=1 result_scatter_entries=3 request_inflight_deferred=5 request_rerun_executed=1 copy_budget_per_tick=256 chunked_copy_enabled=true sync_wait_threshold_copies=320 warn_threshold_copies=500
me.cx.vy.cn.wd.WorldSection	VOXY_PERF world_section_cache pool_size=18 allocations=6187 hits=4119 misses=2068 offers=4137 rejects=0 hit_pct=66.57
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager$ComputeMemoryCopy	Resizing scratch data buffer to: 8388608
me.cx.vy.ct.ce.rg.bg.RenderDataFactory	Missing model summary: 132 misses in last 5s (257 unique IDs total, fallback model 1)
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager$ComputeMemoryCopy	Resizing scratch data buffer to: 16777216
me.cx.vy.ct.ce.rg.ul.UploadStream	VOXY_PERF upload_stream coherent=true buffer_bytes=67108864 used_bytes=29104 remaining_bytes=67079760 threshold_bytes=8388608 queued_frames=1 pending_copies=0 glfinish_stalls=0 backpressure_observations=0
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager$ComputeMemoryCopy	Resizing scratch data buffer to: 2097152
me.cx.vy.ct.ce.rg.hl.AsyncNodeManager$ComputeMemoryCopy	Resizing scratch data buffer to: 4194304
